,track_URI,track_name,album_name,album_image_URL,artists_URIs,artists,artist_genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
22,2LBqCSwhJGcFQeTHMVGwy3,Die For You,Starboy,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],"['canadian contemporary r&b', 'canadian pop', 'pop']",0.586,0.525,-7.163,0.0615,0.111,0.0,0.134,0.508
23,3zkyus0njMCL6phZmNNEeN,LET GO,LET GO,https://i.scdn.co/image/ab67616d0000b273638ef1228c87a6bc74a4ea0f,['5H4yInM5zmHqpKIoMNAx4r'],['Central Cee'],['melodic drill'],0.735,0.449,-9.933,0.383,0.859,0.0,0.213,0.514
24,1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Her Loss,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']","['Drake', '21 Savage']","['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap', 'atl hip hop']",0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424
25,561jH07mF1jHuk7KlaeF0s,Mockingbird,Encore (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023,['7dGJo4pcD2V6oG8kP0tJRR'],['Eminem'],"['detroit hip hop', 'hip hop', 'rap']",0.637,0.678,-3.798,0.266,0.209,0.0,0.156,0.254
26,6G12ZafqofSq7YtrMqUm76,Monotonía,Monotonía,https://i.scdn.co/image/ab67616d0000b27327b5b57343431306a7f9daec,"['0EmeFodog0BfCgMzAIvKQp', '1i8SpTcr7yvPOmcqrbnVXY']","['Shakira', 'Ozuna']","['colombian pop', 'dance pop', 'latin pop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",0.873,0.695,-4.207,0.0459,0.419,1.23e-06,0.211,0.823
27,65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans 'OMG',https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,['6HvZYsbFfjnjFrWF950C9d'],['NewJeans'],"['k-pop', 'k-pop girl group']",0.804,0.771,-4.067,0.0433,0.357,3.07e-06,0.108,0.739
28,0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],HEROES & VILLAINS,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,"['0iEtIxbK0KxaSlF7G42ZOp', '1RyvyyTE3xzB2ZywiAwp0i', '7bXgB6jMjp9ATFy66eO08Z']","['Metro Boomin', 'Future', 'Chris Brown']","['rap', 'atl hip hop', 'southern hip hop', 'trap', 'dance pop', 'r&b']",0.526,0.606,-5.3,0.259,0.152,2.36e-06,0.194,0.492
29,54ELExv56KCAB4UP9cOCzC,Gato de Noche,Gato de Noche,https://i.scdn.co/image/ab67616d0000b273ed132404686f567c8f793058,"['12vb80Km0Ew53ABfJOepVz', '4q3ewBCX7sLwd24euuV69X']","['Ñengo Flow', 'Bad Bunny']","['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",0.892,0.662,-3.894,0.162,0.169,1.24e-06,0.363,0.607
30,73vIOb4Q7YN6HeJTbscRx5,Miss You,Miss You,https://i.scdn.co/image/ab67616d0000b2735b1bff1152ef6d402c9b75a8,"['6TLwD7HPWuiOzvXEa3oCNe', '3t5xRXzsuZmMDkQzgOX35S']","['Oliver Tree', 'Robin Schulz']","['alternative hip hop', 'dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'pop rap', 'tropical house']",0.587,0.742,-6.64,0.0529,0.0128,0.00107,0.146,0.199
31,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Un Verano Sin Ti,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,"['4q3ewBCX7sLwd24euuV69X', '37230BxxYs9ksS7OkZw3IU']","['Bad Bunny', 'Chencho Corleone']","['reggaeton', 'trap latino', 'urbano latino', 'reggaeton flow']",0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425
32,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,AM,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,['7Ln80lUS6He07XvHI8qqHH'],['Arctic Monkeys'],"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",0.464,0.417,-9.345,0.0256,0.136,0.022,0.0974,0.479
33,0QHEIqNKsMoOY5urbzN48u,Made You Look,Takin' It Back,https://i.scdn.co/image/ab67616d0000b2731a4f1ada93881da4ca8060ff,['6JL8zeS1NmiOftqZTRgdTz'],['Meghan Trainor'],"['dance pop', 'hip pop', 'pop']",0.838,0.525,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884
34,61AZsmFB3VoJdmraMk5ZSn,VIBE (feat. Jimin of BTS),VIBE (feat. Jimin of BTS),https://i.scdn.co/image/ab67616d0000b273f7994d33de90ec347aa477c3,"['6udveWUgX4vu75FF0DTrXV', '1oSPZhvZMIrWW5I41kPkkY']","['TAEYANG', 'Jimin']",['korean r&b'],0.78,0.683,-5.319,0.0575,0.0801,0.0,0.22,0.608
35,1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,Romantic Homicide,https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0,['5y8tKLUfMvliMe8IKamR32'],['d4vd'],['bedroom pop'],0.571,0.544,-10.613,0.0299,0.453,0.00805,0.322,0.216
36,6Um358vY92UBv5DloTRX9L,Que Vuelvas,Que Vuelvas,https://i.scdn.co/image/ab67616d0000b2735c7336d25ca101fbb0855647,"['66ihevNkSYNzRAl44dx6jJ', '6XkjpgcEsYab502Vr1bBeW']","['Carin Leon', 'Grupo Frontera']","['corrido', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",0.491,0.643,-4.309,0.0442,0.187,0.0,0.109,0.779
37,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Un Verano Sin Ti,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,['4q3ewBCX7sLwd24euuV69X'],['Bad Bunny'],"['reggaeton', 'trap latino', 'urbano latino']",0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187
38,5IgjP7X4th6nMNDh4akUHb,Under The Influence,Indigo (Extended),https://i.scdn.co/image/ab67616d0000b2739a494f7d8909a6cc4ceb74ac,['7bXgB6jMjp9ATFy66eO08Z'],['Chris Brown'],"['dance pop', 'r&b']",0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31
39,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244,"['5XKFrudbV4IiuE5WuTPRmT', '7o2ZQYM7nTsaVdkXY38UAA']","['Stephen Sanchez', 'Em Beihold']","['gen z singer-songwriter', 'pop', 'alt z']",0.551,0.55,-5.339,0.0286,0.777,0.0,0.202,0.342
40,4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,Gemini Rights,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,['57vWImR43h4CaDao012Ofp'],['Steve Lacy'],['afrofuturism'],0.686,0.494,-7.093,0.0355,0.613,5.8e-05,0.402,0.7
41,5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,SOS,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,['7tYKF4w9nC0nq9CsPZTHyP'],['SZA'],"['pop', 'r&b']",0.358,0.284,-8.285,0.0285,0.805,0.0,0.183,0.276
42,0oBtwScT4B4BR5kZitNWd5,PUNTO G,PUNTO G,https://i.scdn.co/image/ab67616d0000b27395bb2c6de77ced85c92e89c4,['52iwsT98xCoGgiGntTiR7K'],['Quevedo'],"['rap canario', 'urbano latino']",0.751,0.761,-4.113,0.15,0.251,0.000238,0.0991,0.553
43,6zJejIfVYLgjud3lTk4DLB,SNAP,SNAP PACK,https://i.scdn.co/image/ab67616d0000b273c009b22a08eee835ce3efeb9,['46xBNx0j6cwY6sD9LgMTm1'],['Rosa Linn'],['alt z'],0.565,0.636,-8.198,0.0638,0.107,9.9e-06,0.447,0.525
44,11BKm0j4eYoCPPpCONAVwA,Bloody Mary,Born This Way (Special Edition),https://i.scdn.co/image/ab67616d0000b273a47c0e156ea3cebe37fdcab8,['1HY2Jd0NmPuamShAr6KMms'],['Lady Gaga'],"['art pop', 'dance pop', 'pop']",0.591,0.637,-6.365,0.03,0.0107,1.95e-06,0.113,0.432
45,53tfEupEzQRtVFOeZvk7xq,DESPECHÁ,MOTOMAMI +,https://i.scdn.co/image/ab67616d0000b273efc0ef9dd996312ebaf0bf52,['7ltDVBr6mKbRvohxheJ9h1'],['ROSALÍA'],['r&b en espanol'],0.914,0.622,-6.538,0.0892,0.146,1.68e-05,0.0632,0.77
46,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,I Love You.,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,['77SW9BnxLY8rJ0RciFqkHh'],['The Neighbourhood'],"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398
47,54ipXppHLA8U4yqpOFTUhr,Bones,Mercury - Acts 1 & 2,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,['53XhwfbYqKCa1cC15pYq2q'],['Imagine Dragons'],"['modern rock', 'rock']",0.772,0.75,-3.67,0.0455,0.0201,0.0,0.074,0.587
48,2K9kZpwD2CzTa6iiSYYOoO,Leão,"Decretos Reais, Vol. 2",https://i.scdn.co/image/ab67616d0000b273680345244dcab673f3a1389d,['1yR65psqiazQpeM79CcGh8'],['Marília Mendonça'],"['arrocha', 'sertanejo']",0.743,0.865,-3.897,0.0315,0.449,3.05e-06,0.297,0.794
49,02MWAaffLxlfxAUY7c5dvx,Heat Waves,Dreamland (+ Bonus Levels),https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea,['4yvcSjfu4PC0CYQyLy4wSq'],['Glass Animals'],"['gauze pop', 'indietronica', 'shiver pop']",0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531
